Russian,Polish
Деликатный (Будь деликатным),Delikatny (Bądź delikatny)
Демократия (Демократия в Польше),Demokracja (Demokracja w Polsce)
Стоматолог (Я иду к стоматологу),Dentysta (Idę do dentysty)
Депрессия (У меня депрессия),Depresja (Mam depresję)
Десерт (Принесите десерт),Deser (Poproszę deser)
Доска (Гладильная доска),Deska (Deska do prasowania)
Детектив (Детектив ведёт расследование),Detektyw (Detektyw prowadzi śledztwo)
Девиз (Мой девиз: никогда не сдавайся),Dewiza (Moja dewiza: nigdy się nie poddawaj)
Алмаз (Кольцо с алмазом),Diament (Pierścionek z diamentem)
Ручка (Одолжи мне ручку),Długopis (Pożycz mi długopis)
Долото (Долото для резьбы),Dłuto (Dłuto do rzeźbienia)
Сутки (Сутки имеют 24 часа),Doba (Doba ma 24 godziny)
Добавить (Добавь ещё одну вещь),Dodat (Dodaj jeszcze jedną rzecz)
Дополнение (Дополнение к зарплате),Dodatek (Dodatek do pensji)
Долить (Долей мне чая),Dolać (Dolej mi herbaty)
Требовать (Я требую справедливости),Domagać (Domagam się sprawiedliwości)
Вокруг (Вокруг деревья),Dookoła (Dookoła są drzewa)
Советник (Финансовый советник),Doradca (Doradca finansowy)
Посоветовать (Посоветуй мне что-нибудь),Doradzić (Doradź mi coś)
Взрослеть (Я взрослею с каждым днём),Dorośleć (Dorośleję z każdym dniem)
Поставщик (Поставщик еды),Dostawca (Dostawca jedzenia)
Касаться (Не трогай это),Dotykać (Nie dotykaj tego)
Доказать (Я докажу свою правоту),Dowieść (Udowodnię swoją rację)
Даун (Синдром Дауна),Down (Down to zespół genetyczny)
Ощущение (У меня новые ощущения),Doznanie (Mam nowe doznania)
Дожить (Я доживу до ста лет),Dożyć (Dożyję stu lat)
Мелкий (Мелкие деньги),Drobny (Drobne pieniądze)
Печать (Печать документов),Druk (Druk dokumentów)
Команда (Моя команда выиграла),Drużyna (Moja drużyna wygrała)
Дерево (Дерево в саду),Drzewo (Drzewo w ogrodzie)
Дух (Дух борьбы),Duch (Duch walki)
Гордость (Я горд),Duma (Jestem dumny)
Душа (У меня душа художника),Dusza (Mam duszę artysty)
Двор; усадьба (Усадьба в классическом стиле),Dwór (Dwór w stylu klasycystycznym)
Диктант (Мы пишем диктант),Dyktando (Piszemy dyktando)
Диплом (У меня диплом магистра),Dyplom (Mam dyplom magistra)
Дискретный; сдержанный (Будь сдержанным),Dyskretny (Bądź dyskretny)
Дистанция (Соблюдай дистанцию),Dystans (Zachowaj dystans)
Деятельность (Хозяйственная деятельность),Działalność (Działalność gospodarcza)
Действие (Действие лекарства),Działanie (Działanie leku)
Детство (Моё детство было счастливым),Dzieciństwo (Moje dzieciństwo było szczęśliwe)
Область (Это моя область),Dziedzina (To moja dziedzina)
Дневник; газета (Я читаю газету),Dziennik (Czytam dziennik)
Журналист (Журналист пишет статью),Dziennikarz (Dziennikarz pisze artykuł)
Арендовать (Я арендую поле),Dzierżawić (Dzierżawię pole)
Произведение (Это великое произведение искусства),Dzieło (To wielkie dzieło sztuki)
Дикий (Дикие животные),Dziki (Dziki zwierzęta)
"Удивлять (Я удивляюсь, что это работает)","Dziwić (Dziwię się, że to działa)"
Звонок (Позвони в дверь),Dzwonek (Zadzwoń dzwonkiem do drzwi)
Звук (Я слышу звук музыки),Dźwięk (Słyszę dźwięk muzyki)
Джем (Я люблю клубничный джем),Dżem (Lubię dżem truskawkowy)
Образование (Образование важно),Edukacja (Edukacja jest ważna)
Эффект (Конечный эффект),Efekt (Efekt końcowy)
Команда (Наша команда выиграла),Ekipa (Nasza ekipa wygrała)
Экология (Экология — важная тема),Ekologia (Ekologia to ważny temat)
Экономический (Экономическое развитие),Ekonomiczny (Rozwój ekonomiczny)
Экран (Экран компьютера),Ekran (Ekran komputera)
Эксперт (Я эксперт в своей области),Ekspert (Jestem ekspertem w swojej dziedzinie)
Элегантный (Ты выглядишь элегантно),Elegancki (Wyglądasz elegancko)
Электричество (Электричество в доме),Elektryczność (Elektryczność w domu)
Энергия (У меня много энергии),Energia (Mam dużo energii)
Эпидемия (Эпидемия гриппа),Epidemia (Epidemia grypy)
Эпоха (Новая эпоха технологий),Epoka (Nowa epoka technologii)
Эра (Новая цифровая эра),Era (Nowa era cyfrowa)
Кресло (Садись в кресло),Fotel (Usiądź w fotelu)
Французский (Я учу французский),Francuski (Uczę się francuskiego)
Шуба (У меня норковая шуба),Futro (Mam futro z norek)
Гаджет (Новый электронный гаджет),Gadżet (Nowy gadżet elektroniczny)
Галерея (Мы идём в торговый центр),Galeria (Idziemy do galerii handlowej)
Газета (Я читаю газету каждый день),Gazeta (Czytam gazetę codziennie)
Гимназия (Я ходил в гимназию),Gimnazjum (Chodziłem do gimnazjum)
Гитара (Я играю на гитаре),Gitara (Gram na gitarze)
Почва (Почва плодородная),Gleba (Gleba jest żyzna)
Глобальный (Глобальное потепление),Globalny (Globalne ocieplenie)
Достоинство (У меня есть своё достоинство),Godność (Mam swoją godność)
Экономика (Польская экономика),Gospodarka (Gospodarka polska)
Гостеприимный (Поляки гостеприимны),Gościnny (Polacy są gościnni)
Готовить (Я готовлю обед),Gotować (Gotuję obiad)
Наличные (Я плачу наличными),Gotówka (Płacę gotówką)
Граница (Граница Польши),Granica (Granica Polski)
Грозить (Мне грозит опасность),Grozić (Grozi mi niebezpieczeństwo)
Гриб (Грибы в лесу),Grzyb (Grzyby w lesie)
Гарантия (У меня гарантия на телефон),Gwarancja (Mam gwarancję na telefon)
Гармония (Я живу в гармонии),Harmonia (Żyję w harmonii)
Чай (Я пью чай),Herbata (Piję herbatę)
Честь (Это дело чести),Honor (To sprawa honoru)
Горизонт (Горизонт на море),Horyzont (Horyzont na morzu)
Юмор; настроение (У меня хорошее настроение),Humor (Mam dobry humor)
Идея (У меня новая идея),Idea (Mam nową ideę)
Идеал (Это мой идеал),Ideał (To mój ideał)
Кумир (Мой кумир — известный музыкант),Idol (Mój idol to znany muzyk)
Игла (Швейная игла),Igła (Igła do szycia)
Информировать (Я информирую тебя об изменениях),Informować (Informuję cię o zmianach)
